,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,elonmusk,2016-07-30,"But wait, there’s more: the flamethrower is sentient, its safe word is “cryptocurrency” and it comes with a free blockchain",Positive,-0.33640003200000024,9047810.0,-5034490.0
1,elonmusk,2018-01-29,@annerajb @eli_schiff Good progress. Really proud of this design &amp; SpaceX propulsion team. This engine is something special.,Positive,-64.3399658203,3715079936.0,-1657250048.0
2,elonmusk,2018-05-29,"Flamethrower obv best way to light your fireplace/BBQ. No more need to use a dainty “match” to ignite! If no wood, just drop your flamethrower in fire place! It will generate way more warmth than a quaint pile of logs.",Positive,49.23999023440001,2330820096.0,-26080000.0
3,elonmusk,2018-06-09,@cyantist @1world22gether Will do. Am enquiring on many channels. Regards to Scott.,Positive,-3.343017578099989,1519309952.0,-118470016.0
4,elonmusk,2018-06-19,"@momof3terrors Thanks, great feedback. Will be a fun  project for Tesla design. Love the idea of adding a special item every few months, so whenever you go into a Tesla store, there is something new &amp; delightful to see.",Positive,18.933959960899983,1726569984.0,212700032.0
5,elonmusk,2018-08-11,"People sometimes forget that a company is just a group of people gathered together to make products. So long as it makes great products, it will have great value.",Positive,-12.151999999999987,1790370000.0,90970000.0
6,elonmusk,2018-10-04,"@PopularEthics @Tesla S is better, but rear seat folds down in Model 3, so bikes can fit in trunk",Positive,1.7719999999999914,1479500000.0,-204430000.0
7,elonmusk,2018-10-26,@Tesla Would like to thank Robyn for joining the team. Great respect. Very much look forward to working together.,Positive,0.992999999999995,1161310000.0,58410000.0
8,elonmusk,2018-11-08,@Secrethamper @HugsForNoah Happy birthday!,Positive,-5.096000000000004,1769080000.0,-158750000.0
9,elonmusk,2019-03-02,"@GeorgeThomson79 @Space_Station Yes, she would be able to breathe",Positive,-2.1431269270000257,3747176425.1681,-8948398.580570221
10,elonmusk,2019-03-03,@daferna2 @AndrewYang Probably something notable to announce in a few months,Positive,-2.536705541999993,3454374052.60127,-292802372.5668297
11,elonmusk,2019-04-10,@Ethyr44 @Erdayastronaut @SteelSully @annerajb @kickber @ExploreSpaceKSC Yes! I love botanical gardens. This is my favorite: https://t.co/MP1JwqHv85,Positive,1.2696344819999865,7856924878.73956,224395300.9300003
12,elonmusk,2019-06-25,"@StephenFleming @robert_zubrin @SciGuySpace Something like this is the best way to do it. Incent outcome, not path.",Positive,7.447679139000002,9641764965.18966,1436052903.0974293
