,user,date,tweet,polarity,valueDelta,volume,volumeDelta
154,VitalikButerin,2020-04-11,"@ybejz My take is different: vaccines are the most freedom-respecting solution to the virus, because they're a self-defense solution. It's like everyone buying a gun, instead of using centralized lockdowns and surveillance from the top-down to solve things.",Positive,-0.17423537460000005,43862443.7931816,-43501832.3258941
335,APompliano,2020-04-12,"""For the most ambitious young people, the corporate ladder is obsolete."" - @paulg",Positive,0.09705921409999996,38736897.0186422,-5125546.774539396
944,TimDraper,2020-04-12,I saw this and I think I have a solution. Look for future tweets @TimDraper . This is How an Economy Dies by @umairh https://t.co/tESL6lnK8T,Negative,0.09705921409999996,38736897.0186422,-43862443.7931816
727,aantonop,2020-04-12,"@ForlornSumit @qhardy We are examining the non-fascist alternatives to such solutions.

It's always easier to just build the centralized authoritarian surveillance",Positive,0.09705921409999996,38736897.0186422,-5125546.774539396
336,APompliano,2020-04-13,"@PeterSchiff @PeterMcCormack @POTUS If you agree on the problems, you’ll eventually agree on the solution. #bitcoin",Positive,-0.11292804740000006,18211285.4666889,-20525611.5519533
728,aantonop,2020-04-14,"☀️ Solar energy efficiency advances
🔢 Sudoku as a proof-of-work algorithm
⚒️ Bitcoin mining in space

Watch and take flight 🚀 https://t.co/dymHp93qj9 #InternationalDayOfHumanSpaceFlight",Positive,-0.11590674029999992,16747614.1218552,-1463671.3448337018
337,APompliano,2020-04-15,"If you can solve a problem, you can build a company.

If you can build a company, you can make money.

If you can make money, you can achieve freedom.

Solve problems to achieve freedom.",Positive,-0.022638247200000072,13075275.285934,-3672338.8359212
104,elonmusk,2020-04-16,@RationalEtienne @PPathole @fat__tire @Kristennetten @Robotbeat @ghotiing @CruizVinicius @josh119872 @SweetINXS @voteLabonte @Erdayastronaut @Tesla Does seem that early use is wise. Solving late stage C19 probably requires two or three mechanisms of action.,Negative,0.05993705930000004,21346031.3456645,-13075275.285934
338,APompliano,2020-04-16,"Solid overview of the Taproot upgrade from @KenzieSigalos 

https://t.co/ia4XbHk4mR",Positive,0.05993705930000004,21346031.3456645,8270756.059730502
583,APompliano,2020-04-16,@BDmonds12 Twitter isn’t for nuance unfortunately. I wrote about solutions a few times and will be writing about this stuff today. https://t.co/1VUoN3gvPd,Negative,0.05993705930000004,21346031.3456645,-13075275.285934
265,VitalikButerin,2020-04-16,"@Category_Fury @TheLotusYeeter I thought we had already agreed that the only solutions are P=1, N=0, and P = any order N-1 element of a group?",Negative,0.05993705930000004,21346031.3456645,-13075275.285934
948,SatoshiLite,2020-04-16,"@oparex Same as always. There's no guarantee there's a solution in the whole nonce space. When you run out of nonce, you change nTime and try again with different nonces.",Positive,0.05993705930000004,21346031.3456645,8270756.059730502
330,rogerkver,2020-04-17,Many Core devs say they like high fees and tx backlogs. They have no intention of solving this problem. They're breaking BTC's economic code https://t.co/A8Fon0zG80,Positive,-0.02858448339999997,9870810.00168021,-11475221.343984291
936,TimDraper,2020-04-17,Episode #9 Season #3 @meetthedrapers featuring successful entrepreneur #PritaUppal as guest judge! We hear out solid pitches from @zephyrseat @Story2 and @AvenifyHQ . You can invest on @joinrepublic ! https://t.co/QHsMsCQ8Mo,Positive,-0.02858448339999997,9870810.00168021,-11475221.343984291
266,VitalikButerin,2020-04-18,"@gregeganSF You can always construct one as a linear combination: given solutions ((x1, y1), (x2, y2)...), do (x-x1)*(x-x2)*(x-x3) + (y-y1)*(y-y2)*(y-y3). You do get extra solutions though.",Negative,0.020368363799999956,9782111.900077,-9870810.00168021
339,APompliano,2020-04-18,"""Inflation is high? Let's spend more money to solve it.""

Stop the madness.",Positive,0.020368363799999956,9782111.900077,-88698.10160320997
812,aantonop,2020-04-18,"@hodl_squirrel @doctorow You're right sorry. In my defense, people forcing longer isolation by stupid non compliance with rational and necessary measures is anti social and I'm pretty stressed out, as we all are. My apologies",Negative,0.020368363799999956,9782111.900077,-9870810.00168021
155,VitalikButerin,2020-04-20,"@MacaesBruno @lootproject There is absolute truth in that once an object exists, what you can do with it is limited by the rules coded into that object, but the question of which objects *matter* is decided by much fuzzier forces.",Positive,-0.07413545189999993,8342616.4207554,-947053.9574156897
156,VitalikButerin,2020-04-20,"@ShyamSridhar7 I actually hope that participation declines a bit 🤣

In an ideal world I want people to feel comfortable participating and solo staking even if they're noobs with crappy internet connections (or staking over Tor or whatever).",Positive,-0.07413545189999993,8342616.4207554,-947053.9574156897
729,aantonop,2020-04-20,"@tech_polymath @irontimal There are more than a dozen scaling solutions being developed, none of which have anything to do with more hashing power. The two variables are independent. You keep trying to correlate them, erroneously",Positive,-0.07413545189999993,8342616.4207554,-947053.9574156897
730,aantonop,2020-04-21,"@mrphilmurray @JamesBelding @saifedean @Crypt0cracy @stephanlivera Yes, the testnet release is a stable release. High quality, well tested and solid software from 3 different teams",Positive,0.04627244610000003,9711507.44842345,1368891.0276680505
157,VitalikButerin,2020-04-21,"@Aella_Girl For dictator, I would probably just pick someone who would make a few common-sense economic reforms, resolve all outstanding geopolitical disputes in some fair and sensible way, and then disappear.",Positive,0.04627244610000003,9711507.44842345,1368891.0276680505
0,elonmusk,2020-04-22,"Please consider working at Neuralink!

Short-term: solve brain/spine injuries
Long-term: human/AI symbiosis 

Latter will be species-level important 

Work at either at our Bay Area or Austin locations https://t.co/LPzDrWO8h3",Positive,0.1104348261,18828399.5228331,9116892.07440965
1,elonmusk,2020-04-22,@AOC @RobinhoodApp Absolutely,Positive,0.1104348261,18828399.5228331,9116892.07440965
584,APompliano,2020-04-22,"Today I'm interviewing @cindypinkceo, the woman behind the female viagra drug that sold for $1 billion.

What questions do you have for her?",Negative,0.1104348261,18828399.5228331,-9711507.44842345
585,APompliano,2020-04-23,"@Bulldozer0 Get everyone under 45 years old back to work. Shelter and protect the old, sick, or those with pre-existing conditions. Drastically increase testing. Allow anyone to stay at home that wants. 

Not a perfect solution (none will be) but it addresses both economic &amp; health crisis.",Negative,-0.05788998979999993,13485271.0516431,-18828399.5228331
2,elonmusk,2020-04-24,@TesLatino @Tesla Absolutely! They rock. 🖤,Positive,0.010221048700000068,9064190.2668448,-4421080.7847983
340,APompliano,2020-04-24,"The official inflation number is showing 6.2%, which means that the unofficial number is 10%+.

Absolutely absurd.",Positive,0.010221048700000068,9064190.2668448,-4421080.7847983
3,elonmusk,2020-04-25,"@IheartTesla Absolutely doable. Possibly as soon as Neuralink device version 2, highly likely by version 3.",Positive,0.012801243299999987,7311904.72226874,-1752285.54457606
731,aantonop,2020-04-26,@Diggerdugg @rogerkver No shots fired. I have absolutely no intention of picking a personal fight with Roger. I've always publicly expressed respect and thanks for what Roger has contributed.,Positive,-0.0177086917,8320760.35681435,1008855.6345456103
813,aantonop,2020-04-26,"@nizashiro A strong solution would be UBI and universal healthcare. 

A corrupt wealth transfer to the already rich isn't strong, it's business as usual.",Negative,-0.0177086917,8320760.35681435,-7311904.72226874
341,APompliano,2020-04-27,"@Hero_Hedge Once you understand the problem, it becomes obvious there is no other solution.",Positive,-0.06334191190000005,7406934.10853669,-913826.2482776605
732,aantonop,2020-04-28,"@Socal_crypto Not a misunderstanding, a misuse. There's absolutely no purpose for my name there other than to create the impression of association.",Positive,0.08303978469999995,7470201.22321632,63267.114679630846
342,APompliano,2020-04-30,"This week’s conversation with @WClementeIII on bitcoin on-chain metrics was an absolute masterclass.

Enjoy!

https://t.co/dAU6xUxsIz",Positive,-0.05614911609999995,5016891.64140768,-3784252.83829204
105,elonmusk,2020-04-30,Why forced isolation is bad https://t.co/c2XCcRSx1C,Negative,-0.05614911609999995,5016891.64140768,-8801144.47969972
586,APompliano,2020-05-01,@gaborgurbacs Black Thursday 50% drop shook out most of the traders and speculators. Almost everything that was sold was from people who weren’t long term HODLers.,Negative,0.03774854839999997,4164272.07175221,-5016891.64140768
106,elonmusk,2020-05-01,@_coffee4closers @jon_stocks92 Exactly. How cheaply freedom is sold.,Negative,0.03774854839999997,4164272.07175221,-5016891.64140768
158,VitalikButerin,2020-05-03,@yatreda (Obviously the rollup ecosystem needs to get much more mature for this to be viable too.... but I think there has been lots of progress and @arbitrum launching yesterday is amazing so that's getting solved),Positive,-0.035261182599999996,3328343.6073183,-113012.12947135
343,APompliano,2020-05-05,"@micsolana I find it peculiar that they always discover an even, round number of ballots...",Positive,-0.031603093899999934,2847469.34149937,-596228.4767817399
159,VitalikButerin,2020-05-05,"@angela_walch Game theory absolutely can become outdated in a given context; I give my mechanism-design-theoretic perspective why it's very hard to get an ""end of history"" here: 

https://t.co/8aB7T9NsjT",Positive,-0.031603093899999934,2847469.34149937,-596228.4767817399
814,aantonop,2020-05-05,"@Yeicrypto @CoinCornerDanny 1) Nothing completely ""fixes"" that. It's a necessary trade-off. However, LN and other 2nd layer type solutions *do* get us to the next level of scaling. 

2) Mining is the least centralized system of money control

3) It's either fee markets or dev dictatorship

3) Markets",Negative,-0.031603093899999934,2847469.34149937,-3443697.81828111
816,aantonop,2020-05-06,"@CryptoFallen @LoginoD @SafeHavenio @Inheriti_com A technical solution is insufficient, as I talk about in the video. I wont be trusting any tech like this for my inheritance planning for a looooong time",Negative,-0.019870589199999955,2677562.97435084,-2847469.34149937
815,aantonop,2020-05-06,"@CryptoFallen @LoginoD @Inheriti_com @SafeHavenio A technical solution is insufficient, as I talk about in the video. I wont be trusting any tech like this for my inheritance planning for a looooong time",Negative,-0.019870589199999955,2677562.97435084,-2847469.34149937
587,APompliano,2020-05-06,"@Mikey_Satoshi @hodlonaut This is such a lame explanation. By this logic, cops, firemen, soldiers, etc are not heroes. They’re just doing their jobs 🤷🏽‍♂️",Negative,-0.019870589199999955,2677562.97435084,-2847469.34149937
107,elonmusk,2020-05-07,"@Erdayastronaut @YoavOffek Flare stack flamed out. In a few weeks we’ll be recondensing methane using solar power, so no flare stack.",Negative,-0.009605641599999992,3355830.23580211,-2677562.97435084
267,VitalikButerin,2020-05-07,"@robertwiblin @80000Hours It sounds reasonable to be cautious! Though it does come at the cost of hampering diversity for longer than you otherwise would.

Perhaps the solution is to put more resources into actually doing the preliminary individual outreach to non-English-speaking communities?",Negative,-0.009605641599999992,3355830.23580211,-2677562.97435084
160,VitalikButerin,2020-05-08,"6. In 2012, I was briefly an apologist for PoW energy waste. Though fortunately, by 2013 I got excited about proof of stake as a promising alternative. By 2014, I was sold.

https://t.co/Iy4RsQSwFy

https://t.co/gu7OavCEfn

https://t.co/WFzk3EJBQ0",Positive,-0.008055836200000055,2488194.57299153,-867635.6628105799
5,elonmusk,2020-05-09,"@heyitsyashu Caused by switching frequency of light source. Surround video (multiple cameras, across several frames), improving fps &amp; exposure setting tweaks solves this. All in FSD build.",Positive,0.000485890799999944,2128502.76121917,-359691.81177236
4,elonmusk,2020-05-09,"@torybruno Your company said the exact opposite in 2014 when it got a sole-source, uncompeted $11B DoD launch contract. https://t.co/Abd5sWhZDt

In any event, expendable rockets are as relevant to the future as expendable aircraft. Rapidly reusable rockets are all that matter.",Positive,0.000485890799999944,2128502.76121917,-359691.81177236
817,aantonop,2020-05-10,"@Fonta1n3 I believe that since Core doesn't maintain an index of UTXO scripts it triggers a rescan to do this, which takes hours. Better than nothing, but Electrum is precisely solving that issue",Negative,-0.06742681839999998,2327580.79632425,-2128502.76121917
