,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,aantonop,2020-04-12,"@ForlornSumit @qhardy We are examining the non-fascist alternatives to such solutions.

It's always easier to just build the centralized authoritarian surveillance",Positive,0.09705921409999996,38736897.0186422,-5125546.774539396
1,aantonop,2020-04-14,"☀️ Solar energy efficiency advances
🔢 Sudoku as a proof-of-work algorithm
⚒️ Bitcoin mining in space

Watch and take flight 🚀 https://t.co/dymHp93qj9 #InternationalDayOfHumanSpaceFlight",Positive,-0.11590674029999992,16747614.1218552,-1463671.3448337018
2,aantonop,2020-04-20,"@tech_polymath @irontimal There are more than a dozen scaling solutions being developed, none of which have anything to do with more hashing power. The two variables are independent. You keep trying to correlate them, erroneously",Positive,-0.07413545189999993,8342616.4207554,-947053.9574156897
3,aantonop,2020-04-21,"@mrphilmurray @JamesBelding @saifedean @Crypt0cracy @stephanlivera Yes, the testnet release is a stable release. High quality, well tested and solid software from 3 different teams",Positive,0.04627244610000003,9711507.44842345,1368891.0276680505
4,aantonop,2020-04-26,@Diggerdugg @rogerkver No shots fired. I have absolutely no intention of picking a personal fight with Roger. I've always publicly expressed respect and thanks for what Roger has contributed.,Positive,-0.0177086917,8320760.35681435,1008855.6345456103
5,aantonop,2020-04-28,"@Socal_crypto Not a misunderstanding, a misuse. There's absolutely no purpose for my name there other than to create the impression of association.",Positive,0.08303978469999995,7470201.22321632,63267.114679630846
6,aantonop,2020-05-10,"There is one scalable solution to investors making stupid mistakes: let them make stupid mistakes.  It is easy to resist words of warning, to bypass legal limits; it is hard to resist experience and consequences. Immunity will build slowly but effectively. https://t.co/Rp7nyUSviU",Positive,-0.06742681839999998,2327580.79632425,199078.03510507988
7,aantonop,2020-05-10,"@PatWielandLIVE Because LN is not a scaling solution. Scaling is a side-effect. LN is a layer-2 network that is ** intra-blockchain ** capable. Meaning, in the future you might do a DGB --&gt; BTC LN payment. 

I think you've misunderstood the purpose of LN",Positive,-0.06742681839999998,2327580.79632425,199078.03510507988
8,aantonop,2020-05-10,"Someone suggested using the Business manager portal on FB to solve my problem.

Kafka would be proud... https://t.co/OsRWOKIA1Z",Positive,-0.06742681839999998,2327580.79632425,199078.03510507988
9,aantonop,2020-05-10,@rosdikuat Absolutely not. I believe in open source. Names are meaningless without creative people innovating. Degrading the license only degrades the community.,Positive,-0.06742681839999998,2327580.79632425,199078.03510507988
10,aantonop,2020-05-12,"@BrendanEich @thatSarahGray @WeathermanIam @UpholdInc @buyvpnservice @civickey I'd be interested in non-custodial solutions for BAT. I don't see why you need ""KYC"", you're not a bank. 

Isn't a simple proof I own the YT channel enough? Can do that with Google-OAuth. Honestly curious why you think you need real ID, rather than channel proof",Positive,0.025185122400000037,2198624.8775544,100144.04879118968
11,aantonop,2020-05-15,"@Disruptepreneur @cryptokaze666 You say ""Absolutely"" with complete authority. You are wrong, on multiple levels. Read up on ACLU analysis and legal precedent before stating ""facts""",Positive,-0.009441332700000027,1850070.45437919,-197826.33878840995
12,aantonop,2020-05-15,"@LeRatton @spudowiar No, but this is precisely why these discussions are academic only. For the average user, their current solution has a security rating of ""5"", a hardware wallet is ""50000"". Maybe the other hardware wallet is ""50100"". While they debate that difference, they stay on the ""5"".",Positive,-0.009441332700000027,1850070.45437919,-197826.33878840995
13,aantonop,2020-05-28,"@Jovonni Hardware wallets are still far more secure than any other solution for the vast majority of users.

The security vulnerabilities discovered are far less of a problem than the complete insecurity of the average general purpose desktop/laptop.",Positive,-0.015728163499999948,2662787.87087333,125872.31169032026
14,aantonop,2020-06-06,@BitcoinBuzzV9 @timpastoor @TeamWinnaar Disagree. Banks do physical security very well. Private vault companies also do it very well. A safe deposit box is a very good solution for seed storage (together with other precautions and layered security).,Positive,-0.0386287996000001,1604055.15722887,-2718036.49748745
15,aantonop,2020-06-14,"@GoofyDuckLoL I don't do 20th century political labels. They're obsolete and meaningless. If one can define oneself with one label, one needs to read more books.",Positive,-0.02385004209999997,873415.751115423,108659.19772675901
16,aantonop,2020-06-15,"@mikejcasey @Bfklin It is absolutely laughable historical revisionism to claim that cops face more danger now than they did, for example, in the 60s or 70s (leftist bombing campaigns) or the 20s and 30s (mobsters with machine guns). The crime rate and risk to cops has dropped by order of magnitude.",Positive,-0.0177338157000001,942666.189719777,69250.43860435393
