,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,aantonop,2020-05-10,"More than 50% of the seats are sold out, for our upcoming event in Chicago (Apr 25th). 

But fear not, it's a beautiful theatre with an inclined floor, so every seat is a good seat.

https://t.co/En82I9BjEf",Positive,-0.06742681839999998,2327580.79632425,199078.03510507988
1,aantonop,2020-05-10,@lightcoin If it needs a node or to extract an xpub then it isn't suitable for newbies. I'm looking for a solution for newbies that can be run on any desktop without specialized knowledge or infrastructure prerequisites,Positive,-0.06742681839999998,2327580.79632425,199078.03510507988
2,aantonop,2020-05-10,"That script was very basic and had to rely on a block explorer API, not a great solution.

I've been wondering about whether this kind of ""seed path explorer"" could be implemented as an Electrum plugin, to take advantage of the indexing of UTXO scripts.",Positive,-0.06742681839999998,2327580.79632425,199078.03510507988
3,aantonop,2020-07-02,#TreeofLife Standing in love &amp; solidarity today.,Positive,-0.05189694890000007,1749581.47684417,-22978.364494760055
4,aantonop,2020-08-22,"This is the absolute best time to invest...

...in education:

https://t.co/ZxglXogW2X

#bitcoin #ethereum #lightning #blockchain #education #BTC2019",Positive,0.07557869750000012,10296804.8195696,-1499930.8135824986
5,aantonop,2020-11-09,"@abcardo Sure, I've talked about it many times. You can find my videos on Youtube (https://t.co/jXVNMO55uF)

Quantum attacks are neither imminent, or unsolvable. They're part of the arms race of cryptography.",Positive,-0.12794596999999985,18210625.97270338,-7720417.068679012
6,aantonop,2020-11-11,"@gcomxx What you describe is BIP39, which as I said made paper wallets obsolete. Mnemonic backups are not paper wallets - though they are best backed up on paper.",Positive,-0.24586254000000007,13877948.92652378,-2292884.2063041795
7,aantonop,2020-12-13,"@iamcoinsulter Hardware wallets are the best solution for 99% of users.

Software wallets with HD/mnemonic backup also serve many use cases for smaller amounts/risks",Positive,0.07474115999999986,8389349.11124252,1304118.2754058493
8,aantonop,2021-01-01,"Or even better, don't use paper wallets, period. They were made obsolete by HD wallets and BIP39 mnemonics more than 3 years ago. https://t.co/XP5TOlOiYl",Positive,0.33230899,25722549.3360078,12959289.76746769
9,aantonop,2021-01-18,"@DavidShares @keyvandavani There is no ""path routing problem"". There are plenty of interesting problems and engineering challenges to solve in LN. That's not one of them.",Positive,-0.02661617000000005,70601712.76708774,-14806053.422084868
